Initiative,Epic,Task ID,Name,Subtask?,Priority,Customer,Customer Priority Context,Due Date (Adjusted),Completed At,Estimated Hours,Resourcing Impact,Status,Feature Set,Must Deliver in 90 Days?
Security & Compliance,Vanta Compliance Improvements,1209092927239551,[Vanta] Add PII tagging to Distro,No,Low,,,2025-09-24,,,Platform,Open,,No
Admin UI / AST,Admin Status Tracking,1211414408802365,AST: 👁 Viewed should not change status from open [to viewed],No,High,,,2025-09-23,,20.0,Product,Open,,Yes
Admin UI / AST,Admin Status Tracking,1211412072859757,"AST: Move ""Assigned to"" to the Actions Column",No,Medium,,,2025-09-24,,40.0,Product,Open,,No
Admin UI / AST,Admin Status Tracking,1.21141E+15,AST: Add “Resolved By” to Resolved view,No,Medium,,,2025-09-26,,5.0,Product,Open,,No
Document Assistance,Document Intake Improvements,1211123913768993,DA - Birth Docs - Upload Birth Certificate as proof of birth,Yes,High,,,NaT,,40.0,Product,Open,Document Assistance,Yes
Document Assistance,nan - Customer Requests,1211432756069843,Create v0 Message Template for Doc Type Check,Yes,,,,NaT,,40.0,Product,Open,,No
Notifications & Comms,nan - Customer Requests,1211432756069844,Create v0 Message Template for Extracting Fields,Yes,,,,NaT,,40.0,Platform,Open,,No
Document Assistance,nan - Customer Requests,1211432756069845,Achieve <50% FPR for Doc Type Check,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1211432756069846,Achieve <50% FPR for Required Fields Check,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211432756069847,Configure Inline Alerting,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Document Intake Improvements,1211432756069949,Import Documents & Recollect Reasons for Testing,Yes,,,,NaT,,,Needs Assignment,Open,,No
Document Assistance,Document Intake Improvements,1211123913768997,DA - Birth Docs - Upload Certificate of Live Birth as proof of birth,Yes,High,,,NaT,,40.0,Product,Open,Document Assistance,Yes
Document Assistance,nan - Customer Requests,1211432756069848,Create v0 Message Template for Doc Type Check,Yes,,,,NaT,,,Product,Open,,No
Notifications & Comms,nan - Customer Requests,1211432756069849,Create v0 Message Template for Extracting Fields,Yes,,,,NaT,,,Platform,Open,,No
Document Assistance,nan - Customer Requests,1.21143E+15,Achieve <50% FPR for Doc Type Check,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1211432756069851,Achieve <50% FPR for Required Fields Check,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211432756069852,Configure Inline Alerting,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Document Intake Improvements,1.21143E+15,Import Documents & Recollect Reasons for Testing,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210139580111536,Create Read Only view for people on surveys,No,High,,,2025-10-07,,40.0,Needs Assignment,Open,,Yes
Platform Core,nan - Customer Requests,1211365398334306,Backend immutability (RS) ,Yes,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211365398334307,Frontend Screeners Can View surveys but not edit,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211365398334311,Consider Readonly View for each component,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21137E+15,Consider Show Fields -> ReadOnly view for each component,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211414885457901,Requesting a better way to display reviewer stats in dashboards,No,Medium,,,2025-09-26,,5.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211397346025834,Give Directly Endpoints,No,High,,,2025-09-24,,40.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1.21135E+15,Add Claim from Protected Search Functionality,No,High,,,2025-09-24,,40.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1210708837013976,Info in id_front_text is outdated or removed,No,High,,,2025-08-22,2025-09-16,40.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1.21119E+15,Error message when enabling flup notif without parent notif being enabled,No,High,,,2025-09-30,,20.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1211308935281125,Improve Ability to Delete Dynamo Apps,No,High,,,2025-10-07,,20.0,Needs Assignment,Open,,Yes
Accessibility & UX,nan - Customer Requests,1211058960162382,"Create a Human-Evaluated Language Layer as Default for Localization strings, Backed Up by AI-Translated i18 Files",No,High,,,NaT,,60.0,Product,Open,,Yes
Data & Reporting,nan - Customer Requests,1211215750666611,"New Bug Report: When calling interpretation service from a video call, only the host is able to hear them",No,High,,,NaT,,40.0,Platform,Open,,Yes
Payments & Disbursements,Disbursements Engine,1211266068797433,Distro Search not finding targets defined in sibling conditional blocks,No,Low,,,2025-10-07,,40.0,Platform,Open,,No
Payments & Disbursements,Disbursements Engine,1211115464351983,Distro Notif Guardrails: Require Check Query and Simulation of Notifs before Publishing,No,High,,,NaT,,40.0,Platform,Open,,Yes
Uncategorized,nan - Customer Requests,1211093309326889,RS Serialization Problem,No,High,,,NaT,,40.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1211093387412102,Short term fix - import calls RS sequentially,Yes,,,,NaT,2025-08-19,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211093387412103,"Medium term fix - import calls a bulkComputeAndSave, which loads the survey once, and then calls computeAndSave for each app sequentially",Yes,,,,NaT,,,Needs Assignment,Open,,No
Document Assistance,nan - Customer Requests,1211093387412098,Understand how to reproduce - create a doc,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1211093387412096,Proposal to Fix,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211093387412097,Fix in test instance - Sakura or testsave,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21109E+15,Rollout Fix to lacountyfoodsystems and backtoschoolwithsave,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211093387412101,Rollout fix to all programs,Yes,,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,Disbursements Engine,1210992269862597,Distro Banner/Other to Let User know of unpublished changes,No,Medium,,,NaT,,20.0,Platform,Open,,No
Payments & Disbursements,Disbursements Engine,1211083415725486,Change banner color for local vs prod Distro,Yes,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211080548825906,Add optional validation to InlineSignature where typed value must equal legal_name,No,,,,2025-10-14,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210164620916779,Support Table Revamp ,No,High,,,2025-10-07,,40.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1211205200919897,Make DataTable search more flexible,Yes,,,,NaT,2025-09-03,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211205200919899,Redesign modern support table with consolidated columns,Yes,High,,,2025-09-12,2025-09-21,40.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1211216846312839,Add 'resolved_at' as a modern Support Table column,Yes,,,,2025-09-15,2025-09-21,20.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211255805299619,Modify support requests query to return last message text regardless of needs_attention value,Yes,,,,2025-09-15,2025-09-22,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211255803669282,Use program timezone for timestamps and Include timezone,Yes,Medium,,,2025-10-07,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211255805299621,Add option to display one-click DataTable action buttons,Yes,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211205201903884,Add filters for Support Table v3,Yes,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211380425038509,Hook up server-side pagination for Support Table v3,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211205201903887,Add the option to show/hide fields,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211205201903885,Sync modern support table with url,Yes,,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1211432765865573,Call disconnects when navigating to Payments page during active call,No,High,,,2025-09-29,,40.0,Platform,Open,,Yes
Uncategorized,nan - Customer Requests,1211321154904237,Make subject line for liveness link configurable,No,Medium,,,2025-10-08,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211378426187659,Redirect URL Issues ,No,High,,,2025-10-07,,40.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1210805299662287,Support Emailing to Multiple Emails at once - BCC everyone?,No,High,,,NaT,,20.0,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1210816269295274,Autofill the Verification Code,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211139504563574,Allow for AEs to configure field validation for client facing /import pages,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209243884241551,Optional questions are skipped after contact confirmations are completed,No,High,,,2025-01-31,2025-02-03,,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1207545798293667,[Duplicate] Resume application doesn't always work as expected,No,High,,,NaT,2024-06-26,,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1207000344855184,[Duplicate] Increase timeout time + add a refresh option for failed custom queries,No,,,,NaT,2024-05-30,20.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1.20678E+15,[Duplicate] ITIN Check returns {} sometimes ,No,,,,NaT,2024-03-08,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1206816706228127,[Duplicate] Unable to update applicant phone number,No,Medium,,,2024-03-19,2024-03-15,,Needs Assignment,Completed,,No
Document Assistance,nan - Customer Requests,1211151327347956,DA - Test & Compare Different Models' Processing Times and Reasoning Variants,Yes,High,,,2025-09-12,2025-09-22,40.0,Product,Completed,Document Assistance,Yes
Uncategorized,nan - Customer Requests,1211248669192733,Dashboard Builder -  Bug - Sometimes Descriptions Don't Save,No,,,,NaT,2025-09-22,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211411983145913,Spam calls taking up HRF support dashboard,No,High,,,2025-09-22,2025-09-22,40.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1211413108451038,Hard-Code Translation Updates,No,High,,,2025-09-24,2025-09-23,5.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1.21139E+15,copy_editor doesn't save edits,No,High,,,NaT,2025-09-22,40.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1210938116556469,Expires after feature for notif links > Can we please implement this feature?,No,High,,,2025-09-24,2025-09-22,20.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1211295321097416,Request to delete individual data,No,High,,,2025-09-09,2025-09-16,5.0,Needs Assignment,Completed,,Yes
Security & Compliance,nan - Customer Requests,1211123573085211,Verification Code Associated with Program Name,No,Low,,,NaT,2025-09-16,40.0,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1.21133E+15,Cook County Redirect Set-Up ,No,High,,,2025-09-12,2025-09-16,40.0,Needs Assignment,Completed,,Yes
Data & Reporting,nan - Customer Requests,1211059208924774,"New Bug Report: Import Question / Problem: I've been importing several CSVs for Save over the last few days and it appears that everytime I import, some r...",No,High,,,NaT,2025-09-15,40.0,Platform,Completed,,Yes
Uncategorized,nan - Customer Requests,1.21127E+15,Implement getSurvey() with hydration efficiency,Yes,,,,NaT,2025-09-15,40.0,Needs Assignment,Completed,,No
Data & Reporting,nan - Customer Requests,1211210795351267,New Bug Report: Surface validation errors in Date question,No,,,,2025-09-23,,20.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211296142210459,"Set by ""Import - [USER UID]"" for values set via import (AK or external partner)",No,Low,,,2025-09-08,2025-09-15,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1.21125E+15,"Auto-Retry a GC Mailing Error of ""failed to process new authorized user application, timeout error.""""",No,High,,,NaT,2025-09-12,40.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1210200313590751,Notify support agent on Reassign,No,High,,,2025-09-18,2025-09-12,40.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1210104774059475,Add truncated call transcript to 'last messaged' column,No,High,,,NaT,2025-09-11,20.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1211074902370218,Run Luna on Question and Applicant State (if trace generator not available) ,Yes,,,,2025-09-10,2025-09-11,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211142852066283,Replace Metabase balance dashboard,No,,,,NaT,2025-09-08,40.0,Needs Assignment,Completed,,No
Security & Compliance,nan - Customer Requests,1210894371267593,"New Bug Report: Question:

Let’s say we want to build visualizations for data not associated with applicant. As shared by <https://aidkit.slack.com/archives...",No,Medium,,,NaT,2025-08-14,40.0,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1211048302028204,Validated Advisory / Optional shows TTS Red Icon. ,No,Medium,,,NaT,2025-09-04,20.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211058446601189,"Dashboard Styling: Collapsible Folders, Bolding and Color-Coding",No,Medium,,,2025-08-22,2025-08-14,20.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211082587278794,Get to the bottom of this ESBUILD thing,No,High,,,NaT,2025-08-25,40.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1.21097E+15,Crypto (fernet) library likely needs version update,No,High,,,NaT,2025-09-08,40.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1209286016506034,Blocked Message vs Custom Text on Submit,No,Medium,,,2025-09-23,2025-09-03,40.0,Needs Assignment,Completed,,No
Notifications & Comms,nan - Customer Requests,1211222176671646,Add Enabled Count for Notification Tab in Preview Pane,No,High,,,NaT,2025-09-11,5.0,Platform,Completed,,Yes
Uncategorized,nan - Customer Requests,1210918598939616,Givecard -Embedded Bank Verification Details for RTP,No,High,,,NaT,2025-09-09,60.0,Needs Assignment,Completed,,Yes
Uncategorized,nan - Customer Requests,1209286016506032,"Add ""Current Balance"" to RC Approve Page",Yes,Medium,,,NaT,2025-09-08,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211026510134881,FSTI has an expiration issue,No,Medium,,,NaT,2025-08-14,40.0,Needs Assignment,Completed,,No
Document Assistance,nan - Customer Requests,1210967812268213,"Warning Message Can Be Dismissed, But Space (Including TTS) Remains Blank",No,Medium,,,NaT,2025-08-14,5.0,Product,Completed,Document Assistance,No
Uncategorized,nan - Customer Requests,1211307203537631,modify Exports to allow decrypting fields,No,Low,,,NaT,2025-09-10,40.0,Needs Assignment,Completed,,No
Admin UI / AST,nan - Customer Requests,1211213915778199,New Bug Report: Change layout of Admin Search to better indicate which row the expanded content is related to,No,,,,NaT,2025-09-02,20.0,Product,Completed,,No
Security & Compliance,nan - Customer Requests,1211448132074294,BRF notification error:  brf: Missing target fields for notification gc_association_notif_email. ,No,Medium,,,NaT,,,Platform,Open,,No
Integrations,nan - Customer Requests,1211440086701773,Misconfigured email servers can lead to spoofed emails,No,Medium,,,2025-09-26,,40.0,Platform,Open,,No
Accessibility & UX,nan - Customer Requests,1208676919054449,Ability to one-way hash messages in the Support UX,No,High,,,NaT,,60.0,Product,Open,,Yes
Uncategorized,nan - Customer Requests,1208701968356001,Ability to hide phone recording content and text messages,Yes,,,,NaT,2024-11-20,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1208750943364791,Encrypt hidden text content in place,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208701968356003,Ability to hide video recording content,Yes,,,,NaT,,,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1208701968356004,"Add a page for auditing and deleting hidden texts, phone, and video recordings",Yes,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208701968356009,Ability to hide multiple messages at once,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211447034983836,Support Dashboard - Notes/Comms Disclaimer,No,Medium,,,2025-09-29,,5.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211443299594981,Prettier guard params,No,Low,,,2025-10-28,,,Needs Assignment,Open,,No
Notifications & Comms,nan - Customer Requests,1.21143E+15,Warn if sending SMS in Comms that's over 320 Characters,No,Medium,,,NaT,,,Platform,Open,,No
Admin UI / AST,Admin Status Tracking,1211423134461119,AST: Auto-update others' dashboards using WS,No,High,,,2025-09-29,,40.0,Product,Open,,Yes
Admin UI / AST,Admin Status Tracking,1211422953405368,AST: 👥 Multiple applicants = multiple lines,No,Medium,,,2025-09-26,,5.0,Product,Open,,No
Security & Compliance,nan - Customer Requests,1211415226640287,"Having users with internal_audit without an /audit survey breaks dashboards with a ""specified key does not exist""",No,Medium,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211412714027002,labelText configuration option for selectType,No,Low,,,2025-10-17,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211412031296454,🏷 Italicize tags or differentiate them from the applicant STAGE. ,No,Low,,,NaT,,,Needs Assignment,Open,,No
Data & Reporting,nan - Customer Requests,1211412072517442,"Add ""Report Spam"" Flag to main support table",No,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211411976160374,Optimize TranscribeVoiceMessages,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Admin UI / AST,Admin Status Tracking,1211411978966959,AST: Update support URL to /support from /supportrequestsv2,No,Medium,,,NaT,,20.0,Product,Open,,No
Payments & Disbursements,Disbursements Engine,1211411830683828,QOL Request: JS formatting function in distro kinds where we script,No,Low,,,2025-10-17,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211397633323889,Delete non-latest,No,,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1211398583252708,Manage Payments - Integration w/Rillet - Unit Tests,No,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1211398583252706,Manage Payments - Invoices - Unit Test,Yes,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1211398583252704,Manage Payments - Integration with Rillet,No,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1211398583252702,Manage Payments - Invoices  ,No,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1211398579681942,Manage Payments - Bulk Action - Pause or Cancel Payments,No,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211318432109567,getSubsurvey query,Yes,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211038294933677,Replace all survey reads from S3,Yes,,,,NaT,,40.0,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1211398579681934,Manage Payments - Configure Columns???,No,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1211398579681926,Manage Payments - Main Page - Unit Tests,No,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211398431907482,"Add ""Custom popup text on submit"" to Copy Editor",No,Medium,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211398431907473,Fillable Form (W9) kind misses Spanish translation when the form is generated,No,Medium,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,Disbursements Engine,1211400980908627,"New Bug Report: @Ben Durfee qq, does this work if you configure it in distro? it's displaying correctly for me in explore but not when I configure it in ...",No,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211399214729691,Automatic Target Field Search to Replace Drop Down Search,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211399505734436,Copy Editor Scrolling Causes Translators to Miss Content,No,Medium,,,2025-09-26,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1211397275840163,Manage Payments - Actions - Three Dot Actions,No,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1211397274660146,Manage Payments - Table Data + Default Columns,No,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1211397274660144,Manage Payments - Filters,No,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1211397274660142,Manage Payments- Search,No,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1.2114E+15,Manage Reminders - New ???,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211397274660138,Manage Reminders - Existing,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211397274660134,RC Balances (Cards),No,,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1211397274660132,Manage Payments Navigation,No,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,Disbursements Engine,1211391913861834,Add way to close a Distro Review,Yes,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211390347900488,Contact Confirmation pathway for virtual / VoIP phone numbers,No,Medium,,,2025-10-10,,,Needs Assignment,Open,,No
Document Assistance,nan - Customer Requests,1.20974E+15,[DA] Extend Delete Applicants Feature,No,Medium,,,NaT,,40.0,Product,Open,,No
Uncategorized,nan - Customer Requests,1209872900836898,Wire RC,Yes,,,,NaT,2025-04-02,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1209872900836901,"Fix delete counts for applicantinfo, fix preview counts for dynamoInfo and dynamoAccess",Yes,,,,NaT,2025-06-17,40.0,Needs Assignment,Completed,,No
Admin UI / AST,nan - Customer Requests,1209872900836899,(High Prio) Extend Super admin capabilities to PMs - meagan and hector,Yes,,,,NaT,2025-09-17,40.0,Product,Completed,,No
Uncategorized,nan - Customer Requests,1210833631335991,"(Low prio) Allow toggling whether certain things get deleted - everything should be by default, but ""Messages"" might want to be kept, for example. ",Yes,,,,NaT,,,Needs Assignment,Open,,No
Integrations,Document Intake Improvements,1209872900836902,"(Low prio) Hide the technical report behind a toggle, and just show ""Success"" upon deletion. Provide a full deletion report of what category of things were deleted (Documents via S3, info was deleted from Dynamo and DB, twilio messages, etc)",Yes,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,Disbursements Engine,1211388913254478,New Bug Report: Distro review does not receive latest values,Yes,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,Disbursements Engine,1.21088E+15,New Bug Report: Hi @pe-team I'm using the Distro Review but this up arrow doesn't fold the changes as I expected. Would you help take a look? ...,Yes,Low,,,NaT,,5.0,Platform,Open,,No
Payments & Disbursements,Disbursements Engine,1210465513918408,Simulate Notifs in Distro not working for Conditional Content,No,Medium,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1210201487253536,Bug: Copy list of UIDs doesn't factor in filters,No,Medium,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211388840681636,Partner Newsletter Q3 Mailing List,No,High,,,2025-09-26,,,Needs Assignment,Open,,Yes
Uncategorized,nan - Customer Requests,1211385092800446,Session Authentication Cutover + DB safety,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211379497662192,Cook County Dataset Support (On Call),No,Medium,,,2025-09-29,,,Needs Assignment,Open,,No
Infrastructure & DevOps,nan - Customer Requests,1211379480092478,Monitoring High Volume Ingestion/Notifs,No,High,,,2025-09-29,,,Platform,Open,,Yes
Uncategorized,nan - Customer Requests,1211379413749586,Phase 1 to Phase 2 Lottery Queries ,No,Medium,,,2025-10-16,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211378652324274,Automated Testing - Manage Fields,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Document Intake Improvements,1211378464284862,make a program documents s3 bucket that we can add to / delete from,No,Medium,,,2025-10-31,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211377009582825,Session Timeout Handling,No,,,,NaT,,,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1211309192712001,Think about: What compliance process is needed for non-admin to send PII via email? IDV? Password-encrypt PDF? etc,Yes,,,,NaT,2025-09-18,,Platform,Completed,,No
Infrastructure & DevOps,nan - Customer Requests,1210992032755292,Prevent instance from logging out while RSS on phone/video call,No,High,,,2025-09-12,2025-09-11,20.0,Platform,Completed,,Yes
