Initiative,Epic,Task ID,Name,Subtask?,Priority,Customer,Customer Priority Context,Due Date (Adjusted),Completed At,Estimated Hours,Resourcing Impact,Status,Feature Set,Must Deliver in 90 Days?
Uncategorized,nan - Customer Requests,1211333472620335,Conditional Content for Block Further Edits functionality,No,Medium,,,2025-10-17,,,Needs Assignment,Open,,No
Integrations,nan - Customer Requests,1211266645444247,Support Dashboard Phone / Email Column Sort & Formatting issues,No,Medium,,,2025-09-19,2025-09-16,,Platform,Completed,,No
Integrations,nan - Customer Requests,1211308754084813,Allow attachment when we email applicants via Support,No,Medium,,,NaT,,,Platform,Open,,No
Admin UI / AST,nan - Customer Requests,1.21131E+15,PE Create way for admin to send attachments via email - Low risk,Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1211306767877916,Throw Publish Warning if you have Duplicate Section Names,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211230947003153,OpenResearch Web Hook ,No,High,,,2025-10-15,,60.0,Needs Assignment,Open,,Yes
Platform Core,nan - Customer Requests,1209791946460182,Examine SupportTask performance impact,No,,,,NaT,,40.0,Platform,Open,,No
Platform Core,nan - Customer Requests,1209791946460178,Examine sync_cdss_data performance impact,No,,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211229104899737,ClickQuery NULL safety (Not/ValueContains),No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211227129119752,"Kind or way to wrap action buttons, allowing them to aligned horizontally",No,Low,,,2025-09-30,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21119E+15,Allow ITER strings in the Shift Date,No,Medium,,,2025-10-07,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211187621927937,Bar chart - String Pillars are not ordered,No,Low,,,2025-10-07,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211187601890927,Bar Chart shows 2 decimal places for the Total while Pie Chart doesn't,No,Low,,,2025-10-07,,,Needs Assignment,Open,,No
Data & Reporting,nan - Customer Requests,1211178854755233,M2 Data Analytics,Yes,,,,NaT,2025-09-04,40.0,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1.21119E+15,,No,,,,NaT,,,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1211185388562348,AP Home - Add Audit Trail,No,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1209094004164928,Streamline end-to-end payment testing from configuration to applicant payment.,Yes,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1209094004164939,Improve USIO customer support response time and issue resolution.,No,,,,NaT,,,Needs Assignment,Open,,No
Document Assistance,Document Intake Improvements,1209094004164894,"Document ACH failure reasons and resolutions (e.g., Receiver Restricted errors and troubleshooting).",No,,,,NaT,,,Product,Open,,No
Payments & Disbursements,Document Intake Improvements,1.20909E+15,"Provide clear documentation for testing GiveCard / USIO payments, including expected behaviors.",Yes,,,,NaT,,,Platform,Open,,No
Document Assistance,Document Intake Improvements,1209876745153832,Document payment flows,No,Low,,,NaT,,,Product,Open,,No
Payments & Disbursements,Document Intake Improvements,1209094004164896,Create step-by-step documentation for USIO card swaps and payment method changes.,Yes,,,,NaT,,,Platform,Open,,No
Payments & Disbursements,Document Intake Improvements,1209094004164888,"Create documentation for new payment features (e.g., Auto Retry) to ensure teams understand functionality.",Yes,,,,NaT,,,Platform,Open,,No
Document Assistance,Document Intake Improvements,1209938627323056,Document payment fields/configurations and related behavior,No,,,,NaT,,,Product,Open,,No
Document Assistance,Document Intake Improvements,1209094004164886,"Document best practices for payment providers (max loads, fraud resolution, provider-specific support).",No,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1211185388562344,AP Home - Data Permissions,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Document Intake Improvements,1211185388562338,AP Home - Quick Links – View Program Documentation,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211185388562328,AP Home - Source Citation,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211185388562322,"??? AP Home - ""Approved Sources"" - Program FAQ",No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211185388562326,AP Home - Program Query Assistance – Aggregate Application Data,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211185388562332,AP Home - Program Query – Response Rating Capture,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211185388562318,"??? AP Home - ""Approved Sources"" - RoboController",No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211185388562324,"??? AP Home - ""Approved Sources"" - Program Policies (Settings) ",No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21119E+15,"??? AP Home - ""Approved Sources"" - Survey Config",No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211185388562334,AP Home - Quick Links – Program Contacts,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211185388562316,AP Home - Program Query Assistance,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211185388562314,AP Home - Dynamic “What’s New Today” Section,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21119E+15,AP Home - Landing Page Layout Skeleton,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Document Intake Improvements,1.21118E+15,Program-Specific Documentation (Gated Content in Gitbook),Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21118E+15,Setting _lang by itself causes RS to freak out in cgf?,No,Medium,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Document Intake Improvements,1.21118E+15,Documentation for GitBook,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211176337508344,Add Dashboard Component enhancements + Refine Dashboard Builder,No,,,,2025-10-03,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211176120667006,5xx Page,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21118E+15,404 Page ,No,,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1.21118E+15,Disabled Payments don't exist in info_defs,No,Low,,,NaT,,,Platform,Open,,No
Payments & Disbursements,Disbursements Engine,1211167034107552,Distro: remove orange save outline on publish,No,,,,NaT,2025-09-09,40.0,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1211156127851094,Run RoboScreener before sending notifications,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21065E+15,Bulk Import: Validation of Import Fields,No,Low,,,2025-10-07,,60.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211001210206058,Allow custom validation of any field (possibly using Validated fields),Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211085102547907,Create AKEP,Yes,,,,NaT,,,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1211153704660779,Add user audit logging for report actions,No,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211153569975355,Certain fields should not be editable by certain users,No,Medium,,,NaT,,60.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1211142852066279,Make RC inputs all dollars,No,Medium,,,NaT,2025-09-08,40.0,Needs Assignment,Completed,,No
Admin UI / AST,nan - Customer Requests,1211141951069525,Mark support case as resolved from Applicant Page,No,Medium,,,NaT,,20.0,Product,Open,,No
Uncategorized,nan - Customer Requests,1210753064692752,Create Trace Generator,Yes,,,,NaT,,40.0,Needs Assignment,Open,,No
Infrastructure & DevOps,nan - Customer Requests,1211115028044943,PDF Admins Want To See Different Org Views Without Logging Out (If They Are Users for Multiple Orgs - Want to Toggle),No,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1211103649511378,Mini-Demos + Images + Reviewer Queues,No,,,,2025-08-20,2025-08-20,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1211103094266053,Vertical alignment on role display in HH calc ,No,Low,,,NaT,,,Needs Assignment,Open,,No
Data & Reporting,nan - Customer Requests,1210441875396695,New Bug Report: Issue where RS / DetectFaces wipes the _face if frontend tells it to.,No,Medium,,,NaT,,40.0,Platform,Open,,No
Admin UI / AST,nan - Customer Requests,1.21044E+15,Add FullStory to the Admin Functions,No,Low,,,NaT,,,Product,Open,Review Flow,No
Payments & Disbursements,Disbursements Engine,1.21106E+15,Distro Editor for Custom TTS Recording,No,Medium,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208726359970641,RoboNav <-> Liveness,No,Medium,,,NaT,,60.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.20938E+15,Phase 1 - simple bypass w/ mock data,Yes,,,,NaT,,,Needs Assignment,Open,,No
Platform Core,nan - Customer Requests,1210988196944867,compute_or_modify_identities API Taking Too Long in PDF,No,Medium,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1210884441591243,Re-design notifySupportCaseActivity for alerts on unhandled support cases,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.20804E+15,Liveness: Add camera enabling instructions,No,Medium,,,NaT,2025-08-14,20.0,Needs Assignment,Completed,,No
Data & Reporting,nan - Customer Requests,1211048128100359,"[Duplicate] New Bug Report: This is an advisory message, I think it should be a Gray icon instead of red? It’s optional. If so I can put in a PE ticket",No,,,,NaT,2025-08-14,,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1211028255172206,Make a toast warning in Copy_Editor when users change the notif copy,No,Low,,,2025-10-07,,,Needs Assignment,Open,,No
Payments & Disbursements,Disbursements Engine,1209295461336588,Enable field to disable TTS for selected languages in Distro Config,No,Medium,,,NaT,,40.0,Platform,Open,,No
Identity & Fraud,Identity & Fraud Controls,1208113816633475,Continue Labeling Data and fleshing out an Instruction Guide for Reviewers re: fraud,No,Low,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1209501047908825,Debug issues with pause/resume/restart on speech reader,No,,,,2025-10-07,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209787559272748,Separate Cron by Program,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210037647126415,"AKEP review by team - Team walks through the design to make sure it ""looks good""",Yes,,,,NaT,2025-05-12,40.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1210037647126413,Code - Coded approach w/ detail showing how many sockets are approx used,Yes,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210037647126414,Code Review by Team - Team walks through the changes to make sure they make sense,Yes,,,,NaT,,,Needs Assignment,Open,,No
Document Assistance,nan - Customer Requests,1209826395217921,[DA] Data Privacy Manager can delete applicants at their request from a central place,No,Medium,,,NaT,,60.0,Product,Open,,No
Uncategorized,nan - Customer Requests,1209804840761326,Move frontend testing-library dependencies to devDep,Yes,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210998586730119,Allow Templated Blocks to have their own pages,No,Low,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210931172045507,Add AK virtual background to video calls ,No,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209342075959004,Screenshotting Apps Automation,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Payments & Disbursements,Disbursements Engine,1205797065831602,Distro query with lookups not translating to SQL correctly,No,Medium,,,NaT,,20.0,Platform,Open,,No
Integrations,nan - Customer Requests,1208938407726861,Add Slack Webhook Creation to ProgramConfig and/or createNewProgram,No,Medium,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1209360160506781,Dev env setup has multiple issues,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208580986423992,Validated Kind unable to pull certain field from the info object,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1207326908011727,Prevent Emails from being Marked as Spam,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Document Assistance,Document Intake Improvements,1209336220797434,"Add Unsubscribe button to some emails, and document why",Yes,,,,NaT,,,Product,Open,,No
Document Assistance,Document Intake Improvements,1209336220797441,"Add language to bottom of Verification codes ""You received this because XYZ"" and document why ",Yes,,,,NaT,,,Product,Open,,No
Uncategorized,nan - Customer Requests,1209336220797439,Allow people to unsubscribe / resubscribe,Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Document Intake Improvements,1209336220797436,Write Documentation on Emails (add to Covered Areas),Yes,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,Identity & Fraud Controls,1210254779994636,Avoid being put on microsoft's quarantine list,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210805299662283,Notify Screener on Reassign,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1210978732604293,Delete PII,No,High,,,NaT,2025-08-06,,Platform,Completed,,Yes
Uncategorized,nan - Customer Requests,1206699622220633,Specifying Sender Broke Applicant Support Tool,No,,,,NaT,2025-08-05,,Needs Assignment,Completed,,No
Integrations,nan - Customer Requests,1.20568E+15,QuickJS integration,No,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1206797399419195,Dashboard Filters need to work for CustomQueries,No,,,,NaT,,40.0,Needs Assignment,Open,,No
Platform Core,nan - Customer Requests,1208643494130694,Refactor bar chart number formatting options,No,Low,,,NaT,,40.0,Platform,Open,,No
Payments & Disbursements,nan - Customer Requests,1207640914297982,Only issue payments on business days,No,Medium,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208504987878847,Add AMH Safeguard: Don't auto respond if there is a recent message from a User,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208504816569604,Add Min & Max Options to NumberWithUnit kind,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208712371322611,Investigate difference between Givecard and AidKit givecard-spending for October,No,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209757255735281,figure out why info_defs is causing so much CPU burden,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209161632987663,Enable Tagging someone in Notes,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210702206369946,DR: snapshot tables might be different,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.20994E+15,save comms to db even when they fail to send,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Document Assistance,Document Intake Improvements,1209609835296278,"Add ""Upload Lookup"" for uploading to a Lookup table to program admin",No,Medium,,,NaT,,40.0,Product,Open,,No
Infrastructure & DevOps,nan - Customer Requests,1209744115367855,Clean Up .yml jobs to use one deploy/build/test/typechecking script so we can update Deps in one place,Yes,Medium,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1.20932E+15,Dev Env Setup: migrations fail,No,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209324907080892,Dev Env Setup: NoSuchKey,No,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209324907080894,Dev Env Setup: Cannot find module '@aidkitorg/component-library`,No,,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208959576097975,User role - scope to languages,No,Low,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.20914E+15,Target Field Dictionary,No,Medium,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209143775803788,Target Fields Linkage,Yes,Medium,,,NaT,2025-08-04,60.0,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1.20866E+15,Offsite - create way to search for target fields on the right pane,Yes,Medium,,,NaT,2025-05-01,40.0,Needs Assignment,Completed,,No
Payments & Disbursements,Disbursements Engine,1209788559102869,Distro enabled toast message needs a fallback for type and name,No,Low,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1209744189442665,Browser compatibility issues with video call UI,No,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209539866726352,TypeError: Failed to execute 'unobserve' on 'ResizeObserver': parameter 1 is not of type 'Element'.,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209504413354017,TypeError: Failed to execute 'unobserve' on 'ResizeObserver': parameter 1 is not of type 'Element'.,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Payments & Disbursements,nan - Customer Requests,1209469403919722,Payment ledger applicantinfo lookup tries to join against empty string when no ledger is specified,No,Low,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1209284322276303,null check /navigation response,No,Low,,,NaT,,5.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209184088888612,chime audio device error <unknown>,No,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1209119594511523,Sections with identical names will collide on screener view,No,,,,NaT,,40.0,Needs Assignment,Open,,No
Eligibility & Workflow,nan - Customer Requests,1208992808958012,Extend Test Eligibility to ValueExprs ,Yes,Medium,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208941118792123,Add optout fields to the Comms tab,No,Low,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1208898378990367,ResourceNotFoundException: Requested resource not found: Table: surviveandthrive.cache not found,No,,,,NaT,,40.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.2089E+15,Implement dynamo throttling when ThrottlingException is hit,No,Low,,,NaT,,40.0,Needs Assignment,Open,,No
Infrastructure & DevOps,nan - Customer Requests,1210969301940521,Create Emergency Deploy Process,No,Medium,,,NaT,,20.0,Platform,Open,,No
General,nan - Customer Requests,1210967812268227,Change the Stoplight Colored TTS Icons,No,Low,,,NaT,,40.0,Needs Assignment,Open,General,No
General,nan - Customer Requests,1210967812268221,Make the Card Disclosures New Tab Icon in the Same Line as the Text,No,Low,,,NaT,,20.0,Needs Assignment,Open,General,No
Uncategorized,nan - Customer Requests,1210964856806207,Scheduled approvals followup task,No,,,,NaT,2025-09-02,40.0,Needs Assignment,Completed,,No
"Luna, Voice",nan - Customer Requests,1210953514517367,[Error Handling] Luna voice chat breaks and duplicates,No,,,,NaT,,,Needs Assignment,Open,"Luna, Voice",No
Platform Core,nan - Customer Requests,1208992275454435,Need API for Case Data,No,Low,,,NaT,,40.0,Platform,Open,,No
Platform Core,nan - Customer Requests,1209001724465579,Ask Questions to create scope for this API / ticket,Yes,,,,NaT,2025-03-10,,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1.20963E+15,Write SOW/Proposal for GD review,Yes,,,,NaT,2025-08-05,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1210950443501972,Add pagination to RC actions list,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210928862094502,Reviewer Landing Page - Create Reviewer Landing Page,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210928861940036,Reviewer Landing Page - Card Counts ,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210928861940034,Reviewer Landing Page - Quick Links,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210928861940038,Reviewer Landing Page - Add Quick Links & Policies to Settings,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210928861940032,Reviewer Landing Page - Policies ,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1.21093E+15,"Reviewer Landing Page - ""Protected"" Search ",No,,,,NaT,,,Needs Assignment,Open,,No
Data & Reporting,nan - Customer Requests,1210932319467616,Manage Applicants - Export All Applicants,No,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1210932319467614,Manage Applicants - Add New Applicant,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210932316999679,Dashboard Templates & Manage Applicants,No,,,,2025-07-30,2025-07-30,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1210920607834941,,No,,,,NaT,,,Needs Assignment,Open,,No
Identity & Fraud,nan - Customer Requests,1210709275980889,[Retest Needed] - Applicant Flow - AI signals not present on Identity Page,No,,,,NaT,,,Platform,Open,Review Flow,No
Uncategorized,nan - Customer Requests,1210918057912688,Dashboard Builder - Templates,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210911473547386,Nohemi + Jaimie on First Pass at Reviewer Landing Page,No,,,,2025-07-28,2025-07-28,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1210907698256922,Manage Applicants - Display Organization and Recipients in a Unified View,No,,,,NaT,,,Needs Assignment,Open,,No
Payments & Disbursements,Disbursements Engine,1209085242640117,Consolidate distro search templated block results,No,,,,NaT,,40.0,Platform,Open,,No
Uncategorized,nan - Customer Requests,1208452009822338,Lazy Load Certain ProgramAdmin Pages - Like TransactionDownload,No,Medium,,,NaT,,20.0,Needs Assignment,Open,,No
Security & Compliance,nan - Customer Requests,1210881403043435,Ash - Audit Logs & RBAC,No,,,,2025-08-04,2025-08-04,,Platform,Completed,,No
Uncategorized,nan - Customer Requests,1210881403043432,Supporting PDF & Reviewer Flow,No,,,,2025-07-23,2025-07-24,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1209120757015049,Automate and improve card reissuing process (lost or undelivered cards),Yes,Low,,,NaT,,,Needs Assignment,Open,,No
Eval,nan - Customer Requests,1210874398669015,Add Review to Prompt Management UI,Yes,Medium,,,NaT,,40.0,Needs Assignment,Open,Eval,No
Uncategorized,nan - Customer Requests,1.21087E+15,,No,,,,NaT,2025-07-23,,Needs Assignment,Completed,,No
Data & Reporting,nan - Customer Requests,1210870942762767,"New Bug Report: Good morning @pe-team, I have been struggling with a filter condition all morning, seems to be working as expected on the expl...",No,,,,NaT,,,Platform,Open,,No
Luna,nan - Customer Requests,1210862799312582,Update Prompt - External References,No,,,,NaT,,,Needs Assignment,Open,Luna,No
Luna,nan - Customer Requests,1.21086E+15,Add Guardrailing for Text Coach,No,,,,NaT,,40.0,Needs Assignment,Open,Luna,No
Data & Reporting,nan - Customer Requests,1210862937308664,New Bug Report: Having some kind of progress/feedback on the import page would be really nice :thinking_face:,No,Low,,,NaT,,20.0,Platform,Open,,No
Payments & Disbursements,Disbursements Engine,1210861853485179,New Bug Report: Hi @pe-team this is a quality of life request. Could we make the language list in the same style with other Distro target fiel...,No,Low,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1210860539287494,Amy- Manage Applicants Review ,Yes,,,,2025-07-17,2025-07-22,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1210824757563746,The Review Flow  & SQL (Mostly),Yes,,,,2025-07-16,2025-07-17,,Needs Assignment,Completed,,No
Uncategorized,nan - Customer Requests,1210816538365898,"""Load to first incomplete section"" bug",No,Medium,,,NaT,,,Needs Assignment,Open,,No
Document Assistance,Document Intake Improvements,1210816269295288,[Prompt Issue] Luna Incorrectly Flags In-Range Document as Too Old on First Upload; Correctly Accepts on Reupload,No,,,,NaT,,40.0,Product,Open,Document Assistance,No
Identity & Fraud,nan - Customer Requests,1.21082E+15,"Bug - On Mobile and in ES, Taking A Picture With Phone in Identity Stage Kicks Applicant Out",No,,,,NaT,,,Platform,Open,,No
Uncategorized,nan - Customer Requests,1.21081E+15,Bulk Reassign Screener,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210791085093758,,No,,,,NaT,2025-07-14,,Needs Assignment,Completed,,No
Document Assistance,Document Intake Improvements,1210776356581414,"QA - When I Upload The Same Document Twice, I Get A Toast Message ",Yes,,,,NaT,2025-08-01,,Product,Completed,General,No
Uncategorized,nan - Customer Requests,1210766416737165,"Remove `===` delimiter from meeting invite message, which causes it to render incorrectly as markdown",No,,,,NaT,,20.0,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210755685918075,ip_barrage flag enhancement,No,Medium,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210747169346298,Create Unified Dashboard in stats.aidkit.org,No,,,,NaT,,,Needs Assignment,Open,,No
Uncategorized,nan - Customer Requests,1210745720788609,Dashboard Builder - Integrate AI into Wizard,No,,,,NaT,,,Needs Assignment,Open,,No
